id,sender,event_type,height,initial_claimable_amount,claimable_at_event,amount_claimed,lost_amount
912,evmos18jthmvmqgkcvtydanucpqdfvhu46amm9vxe6jx,ACTION_IBC_TRANSFER,4265564,1.11914407860868e+20,1.11914407860868e+20,1.1809798515148677e+19,1.6168803450068324e+19
409,evmos18jtr958kvgc0q4306y572lx0ngltrdzyzqqakc,ACTION_IBC_TRANSFER,282873,1.8353001633417147e+20,1.8353001633417147e+20,3.5395974479279112e+19,1.0486529604263756e+19
394,evmos18jwmcye8dz4s7we4ge5y6llekur3kq2uc08gug,ACTION_IBC_TRANSFER,282304,1.8353001633417147e+20,1.8353001633417147e+20,3.5426608970832683e+19,1.0455895112710185e+19
974,evmos18vc047wgzgttm668564alc2t2j3nwhelm9ratg,ACTION_IBC_TRANSFER,4534226,1.11914407860868e+20,1.11914407860868e+20,5.792130626125204e+18,2.2186471339091796e+19
760,evmos18z7q9sw2dfdky4zddzlqru0vglfngdr2pjcep3,ACTION_IBC_TRANSFER,3414647,2.954444241950395e+20,2.954444241950395e+20,4.878011649373356e+19,2.5080989555026313e+19
402,evmos197hljncjx27jrsy4yqfs7ka754uklt8ygp7rl7,ACTION_IBC_TRANSFER,282733,1.8353001633417147e+20,1.8353001633417147e+20,3.5403538385463534e+19,1.0478965698079334e+19
69,evmos19ks7wzu2zssgfzzudhacpp09kc9zqcu8gvy7zq,ACTION_IBC_TRANSFER,274200,6.311876477776434e+20,6.311876477776434e+20,1.459392179788057e+20,1.1857693965605159e+19
675,evmos19mld5lapx5zumzp7tcvz5nt0h666u7hfg7glhr,ACTION_IBC_TRANSFER,2823188,1.8353001633417147e+20,1.8353001633417147e+20,3.7658937691104076e+19,8.223566392438792e+18
516,evmos19pkgd5r0h282jze4u472k6npq9ufcq6txy2kal,ACTION_IBC_TRANSFER,1140143,5.752304438472096e+20,5.752304438472096e+20,1.3612218614375822e+20,7.685424818044174e+18
413,evmos19rhhktgdp9g4mauk3q5p9rdu79xemf9qha5953,ACTION_IBC_TRANSFER,282976,1.8353001633417147e+20,1.8353001633417147e+20,3.539051730395303e+19,1.0491986779589837e+19
983,evmos19rnclhg0ctnq9ys2rcym5z66dfw90q6lxy2lyv,ACTION_IBC_TRANSFER,4569947,1.8353001633417147e+20,1.8353001633417147e+20,9.23395660360116e+18,3.664854747994171e+19
870,evmos19tfpprwf25twdcg4lywgdwa4jd0n94htvd9kna,ACTION_IBC_TRANSFER,4113200,3.5140162812547354e+20,3.5140162812547354e+20,3.247714447111712e+19,5.5373262560251265e+19
1007,evmos19wjtcyd9lytj5pge2e3jj2t6nknc47lqm0tcut,ACTION_IBC_TRANSFER,4877210,1.8353001633417147e+20,1.8353001633417147e+20,3.340633087303178e+18,4.254187099623969e+19
662,evmos19yflusnp4l7snythx2sxv8tyrnt0w5jcpnthlh,ACTION_IBC_TRANSFER,2781511,1.8353001633417147e+20,1.8353001633417147e+20,4.129984074505839e+19,4.582663338484482e+18
8,evmos19zrtt2uncccycgcm9efgedu0hr27qfdvkwyvtf,ACTION_IBC_TRANSFER,273950,6.311876477776434e+20,6.311876477776434e+20,4.6566187272593334e+19,1.1123072467181752e+20
985,evmos1a2fgekpdgzl25rxrfd8yr8cytcsljrfc28uvs9,ACTION_IBC_TRANSFER,4576208,1.11914407860868e+20,1.11914407860868e+20,1.0191461379243698e+19,1.7787140585973303e+19
950,evmos1a44sh6utlrdl5zwc3jlyyewye83whhn8nv68td,ACTION_IBC_TRANSFER,4441559,1.8353001633417147e+20,1.8353001633417147e+20,1.1673474120511005e+19,3.4209029963031863e+19
799,evmos1a6etlsall04x0fyharsg375hyjvxu0ykyya9xr,ACTION_IBC_TRANSFER,3673057,7.431020556385116e+20,7.431020556385116e+20,1.0029314675561187e+20,8.548236715401604e+19
307,evmos1ah39yvy9m8v57sh5l9qgfeegmzqn7t5gpvs4m9,ACTION_IBC_TRANSFER,275199,4.47657631443472e+20,4.47657631443472e+20,3.718136369876083e+19,7.473304416210718e+19
739,evmos1ahgad4qvwuu8kclulrgpe95j03aas6we9gupw4,ACTION_IBC_TRANSFER,3251778,6.311876477776434e+20,6.311876477776434e+20,1.3374777031881731e+20,2.4049141625593545e+19
863,evmos1au8undkhgp0uqa0l60d5wjgyjgldmhan0pxgxn,ACTION_IBC_TRANSFER,4089180,6.311876477776434e+20,6.311876477776434e+20,5.9094320804236616e+19,9.870259114017423e+19
411,evmos1auj9r0llq52pa5yt78jmjxunwm0ud7fxfrlqgd,ACTION_IBC_TRANSFER,282919,1.8353001633417147e+20,1.8353001633417147e+20,3.539354684669189e+19,1.0488957236850979e+19
1021,evmos1ay75clhj28z6yws9fjk05slkmmzvrrs7wda6p9,ACTION_IBC_TRANSFER,5070996,6.871448517080775e+20,6.871448517080775e+20,1.946746156869273e+17,1.7159153831133246e+20
389,evmos1c0lhtyu86ac2u8sqjvlpdx6udxr8n2pv4vd8zx,ACTION_IBC_TRANSFER,281444,1.8353001633417147e+20,1.8353001633417147e+20,3.547221308674968e+19,1.0410290996793188e+19
125,evmos1c0tv4x5du3lzx3lur9l0ee8kpafywq33kfhtja,ACTION_IBC_TRANSFER,274479,1.8353001633417147e+20,1.8353001633417147e+20,3.722216309608056e+19,8.660340987462312e+18
